2022-03-08T14-40-56,90210,Encore Pharmacy,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,60,,
2022-03-25T08-10-53,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,38,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,35,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,35,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,35,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,35,03/26/2022 12:00:00 AM
2022-03-29T08-50-48,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,33,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,70,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,65,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,65,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,63,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,60,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,60,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,90210,Mickey Fine Pharmacy,NLP,NLP,NLP,60,04/02/2022 12:00:00 AM
