2022-03-21T06-11-50,06770,Rite Aid 01375,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,06770,Rite Aid 01375,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,06770,Rite Aid 01375,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,06770,Rite Aid 01375,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,06770,Rite Aid 01375,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,06770,CVS Store #00124,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,06770,Rite Aid 01375,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,06770,CVS Store #00124,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,06770,CVS Store #00124,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,06770,Rite Aid 01375,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,06770,Rite Aid 01375,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,06770,CVS Store #00124,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,06770,CVS Store #00124,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,06770,Rite Aid 01375,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,06770,CVS Store #00124,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,06770,Rite Aid 01375,NLP,NLP,NLP,40,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,06770,Rite Aid 01375,NLP,NLP,NLP,40,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,06770,CVS Store #00124,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,06770,CVS Store #00124,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,06770,Rite Aid 01375,NLP,NLP,NLP,40,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,06770,Rite Aid 01375,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,06770,CVS Store #00124,NLP,NLP,NLP,39,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,06770,Rite Aid 01375,NLP,NLP,NLP,39,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,06770,CVS Store #00124,NLP,NLP,NLP,38,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,06770,CVS Store #00124,NLP,NLP,NLP,38,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,06770,Rite Aid 01375,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,06770,CVS Store #00124,NLP,NLP,NLP,38,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,06770,Rite Aid 01375,NLP,NLP,NLP,39,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,06770,Rite Aid 01375,NLP,NLP,NLP,39,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,06770,CVS Store #00124,NLP,NLP,NLP,37,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,06770,CVS Store #00124,NLP,NLP,NLP,37,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,06770,Rite Aid 01375,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,06770,Stop and Shop Store # 604,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,06770,Rite Aid 01375,NLP,NLP,NLP,39,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,06770,CVS Store #00124,NLP,NLP,NLP,37,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,06770,Stop and Shop Store # 604,NLP,NLP,NLP,20,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,06770,Rite Aid 01375,NLP,NLP,NLP,39,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,06770,CVS Store #00124,NLP,NLP,NLP,37,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,06770,Stop and Shop Store # 604,NLP,NLP,NLP,20,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,06770,CVS Store #00124,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,06770,Stop and Shop Store # 604,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,06770,Rite Aid 01375,NLP,NLP,NLP,39,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,06770,Rite Aid 01375,NLP,NLP,NLP,39,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,06770,CVS Store #00124,NLP,NLP,NLP,35,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,06770,Stop and Shop Store # 604,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,06770,CVS Store #00124,NLP,NLP,NLP,34,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,06770,Rite Aid 01375,NLP,NLP,NLP,39,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,06770,Stop and Shop Store # 604,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,06770,Rite Aid 01375,NLP,NLP,NLP,39,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,06770,CVS Store #00124,NLP,NLP,NLP,34,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,06770,Stop and Shop Store # 604,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,06770,CVS Store #00124,NLP,NLP,NLP,32,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,06770,Rite Aid 01375,NLP,NLP,NLP,38,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,06770,Stop and Shop Store # 604,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,06770,CVS Store #00124,NLP,NLP,NLP,32,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,06770,Stop and Shop Store # 604,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,06770,Rite Aid 01375,NLP,NLP,NLP,38,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,06770,CVS Store #00124,NLP,NLP,NLP,32,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,06770,Walmart Pharmacy #2284,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,06770,Rite Aid 01375,NLP,NLP,NLP,38,04/10/2022 12:00:00 AM
