2022-03-08T14-40-56,12208,ALBANY MEDICAL CTR HOSP,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,,
2022-03-18T09-58-11,12208,Walgreens Store #09971,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,12208,Walgreens Store #09971,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,12208,Walgreens Store #09971,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,12208,CVS Store #00134,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,12208,Walgreens Store #09971,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,12208,CVS Store #00134,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,12208,Walgreens Store #09971,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,12208,CVS Store #00134,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,12208,Walgreens Store #09971,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,12208,CVS Store #00134,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,12208,Walgreens Store #09971,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,12208,CVS Store #00134,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,12208,Walgreens Store #09971,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,12208,CVS Store #00134,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
