2022-03-03T09-56-49,84121,FOOTHILL FAMILY CLINIC SOUTH,02/23/2022 12:00:00 AM,,20,20,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,84121,FOOTHILL FAMILY CLINIC SOUTH,02/23/2022 12:00:00 AM,02/28/2022 12:00:00 AM,20,,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,84121,FOOTHILL FAMILY CLINIC SOUTH,02/23/2022 12:00:00 AM,02/28/2022 12:00:00 AM,20,11,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,29,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,29,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,29,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,27,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,27,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,27,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,27,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,27,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,27,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,27,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,27,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,27,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,22,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,22,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,22,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,22,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,84121,FOOTHILL FAMILY CLINIC SOUTH,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
