2022-02-18T16-04-21,77493,BROOKSHIRE BROTHERS PHARMACY 9,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,20,0,01/17/2022 12:00:00 AM
2022-03-30T09-27-07,77493,CVS Store #01996,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,77493,CVS Store #01996,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,77493,CVS Store #01996,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,77493,CVS Store #01996,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,77493,CVS Store #01996,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,77493,CVS Store #01996,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,77493,CVS Store #01996,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,77493,BROOKSHIRE BROTHERS PHARMACY 9,NLP,NLP,NLP,0,01/18/2022 12:00:00 AM
2022-04-05T05-48-33,77493,CVS Store #01996,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,77493,BROOKSHIRE BROTHERS PHARMACY 9,NLP,NLP,NLP,0,01/18/2022 12:00:00 AM
2022-04-06T05-45-18,77493,CVS Store #01996,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,77493,BROOKSHIRE BROTHERS PHARMACY 9,NLP,NLP,NLP,0,01/18/2022 12:00:00 AM
2022-04-07T05-34-07,77493,CVS Store #01996,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,77493,CVS Store #01996,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,77493,BROOKSHIRE BROTHERS PHARMACY 9,NLP,NLP,NLP,0,01/18/2022 12:00:00 AM
2022-04-09T05-41-09,77493,BROOKSHIRE BROTHERS PHARMACY 9,NLP,NLP,NLP,0,01/18/2022 12:00:00 AM
2022-04-09T05-41-09,77493,CVS Store #01996,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,77493,CVS Store #01996,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,77493,BROOKSHIRE BROTHERS PHARMACY 9,NLP,NLP,NLP,0,01/18/2022 12:00:00 AM
2022-04-11T07-06-23,77493,CVS Store #01996,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,77493,CVS Store #01996,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,77493,CVS Store #01996,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,77493,CVS Store #01996,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,77493,CVS Store #01996,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,77493,CVS Store #01996,NLP,NLP,NLP,19,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,77493,CVS Store #01996,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
