2022-03-08T14-40-56,80003,SAFEWAY PHARMACY,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,,
2022-03-18T09-58-11,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,17,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,17,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,17,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,16,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,80003,CVS Store #16009,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,80003,SAFEWAY PHARMACY,NLP,NLP,NLP,16,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,80003,CVS Store #16009,NLP,NLP,NLP,19,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,80003,Walmart Pharmacy #3824,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
