2022-03-03T10-04-44,60304,Walgreens Store #05235,02/24/2022 12:00:00 AM,02/28/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,60304,Walgreens Store #05235,02/24/2022 12:00:00 AM,02/28/2022 12:00:00 AM,20,37,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,60304,Walgreens Store #05235,NLP,NLP,NLP,37,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,60304,Walgreens Store #05235,NLP,NLP,NLP,37,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,60304,Walgreens Store #05235,NLP,NLP,NLP,37,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,60304,Walgreens Store #05235,NLP,NLP,NLP,37,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,60304,Walgreens Store #05235,NLP,NLP,NLP,37,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,60304,Walgreens Store #05235,NLP,NLP,NLP,36,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,60304,Walgreens Store #05235,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,60304,Walgreens Store #05235,NLP,NLP,NLP,35,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,60304,Walgreens Store #05235,NLP,NLP,NLP,34,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,60304,Walgreens Store #05235,NLP,NLP,NLP,34,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,60304,Walgreens Store #05235,NLP,NLP,NLP,34,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,60304,Walgreens Store #05235,NLP,NLP,NLP,80,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,60304,Walgreens Store #05235,NLP,NLP,NLP,80,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,60304,Walgreens Store #05235,NLP,NLP,NLP,80,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,60304,CVS Store #02844,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,60304,Walgreens Store #05235,NLP,NLP,NLP,80,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,60304,CVS Store #02844,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,60304,Walgreens Store #05235,NLP,NLP,NLP,78,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,60304,CVS Store #02844,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,60304,Walgreens Store #05235,NLP,NLP,NLP,77,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,60304,CVS Store #02844,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,60304,Walgreens Store #05235,NLP,NLP,NLP,77,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,60304,CVS Store #02844,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,60304,Walgreens Store #05235,NLP,NLP,NLP,77,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,60304,CVS Store #02844,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,60304,Walgreens Store #05235,NLP,NLP,NLP,77,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,60304,CVS Store #02844,NLP,NLP,NLP,20,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,60304,Walgreens Store #05235,NLP,NLP,NLP,77,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,60304,Walgreens Store #05235,NLP,NLP,NLP,11,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,60304,CVS Store #02844,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,60304,Walgreens Store #05235,NLP,NLP,NLP,11,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,60304,CVS Store #02844,NLP,NLP,NLP,20,04/21/2022 12:00:00 AM
