2022-02-16T08-23-53,57104,Avera Long-Term Care Pharmacy,02/08/2022 12:00:00 AM,,0,1,02/15/2022 12:00:00 AM
2022-03-18T09-58-11,57104,Omnicare of South Dakota #48344,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,57104,Omnicare of South Dakota #48344,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,57104,Omnicare of South Dakota #48344,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,57104,Omnicare of South Dakota #48344,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,57104,Omnicare of South Dakota #48344,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,57104,Omnicare of South Dakota #48344,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,57104,Avera Long-Term Care Pharmacy,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,57104,Avera Long-Term Care Pharmacy,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,57104,Omnicare of South Dakota #48344,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,57104,Avera Long-Term Care Pharmacy,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,57104,Omnicare of South Dakota #48344,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,57104,Avera Long-Term Care Pharmacy,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,57104,Omnicare of South Dakota #48344,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,57104,Avera Long-Term Care Pharmacy,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,57104,Omnicare of South Dakota #48344,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,57104,Omnicare of South Dakota #48344,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,57104,Avera Long-Term Care Pharmacy,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,57104,Avera Long-Term Care Pharmacy,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,57104,Omnicare of South Dakota #48344,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
