2022-03-03T09-56-49,84118,Walgreens Store #15623,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,20,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,84118,Walgreens Store #15623,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,84118,Walgreens Store #15623,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,10,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,84118,Walgreens Store #15623,NLP,NLP,NLP,10,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,84118,Walgreens Store #15623,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,84118,Walgreens Store #15623,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,84118,Walgreens Store #15623,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,84118,Walgreens Store #15623,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,84118,Walgreens Store #15623,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,84118,Walgreens Store #15623,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,84118,Walgreens Store #15623,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,84118,Walgreens Store #15623,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,84118,Walgreens Store #15623,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,84118,Walgreens Store #15623,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,84118,Walgreens Store #15623,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,84118,Walgreens Store #15623,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,84118,Walgreens Store #15623,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,84118,Walgreens Store #15623,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,84118,Walgreens Store #15623,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,84118,Walgreens Store #15623,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,84118,Walgreens Store #15623,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,84118,Walgreens Store #15623,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,84118,Walgreens Store #15623,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,84118,Walgreens Store #15623,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,84118,Walgreens Store #15623,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,84118,Walgreens Store #15623,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,84118,Walgreens Store #15623,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,84118,Walgreens Store #15623,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,84118,Walgreens Store #15623,NLP,NLP,NLP,19,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,84118,Walgreens Store #15623,NLP,NLP,NLP,18,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,84118,Walgreens Store #15623,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,84118,Walgreens Store #15623,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,84118,Walgreens Store #15623,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,84118,Walgreens Store #15623,NLP,NLP,NLP,18,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,84118,Walgreens Store #15623,NLP,NLP,NLP,18,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,84118,Walgreens Store #15623,NLP,NLP,NLP,17,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,84118,Walgreens Store #15623,NLP,NLP,NLP,17,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,84118,Walgreens Store #15623,NLP,NLP,NLP,15,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,84118,Walgreens Store #15623,NLP,NLP,NLP,15,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,84118,Walgreens Store #15623,NLP,NLP,NLP,15,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,84118,Walgreens Store #15623,NLP,NLP,NLP,15,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,84118,Walgreens Store #15623,NLP,NLP,NLP,15,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,84118,Walgreens Store #15623,NLP,NLP,NLP,15,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,84118,Walgreens Store #15623,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,84118,Walgreens Store #15623,NLP,NLP,NLP,15,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,84118,Walgreens Store #15623,NLP,NLP,NLP,15,04/29/2022 12:00:00 AM
