2022-03-16T18-51-35,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,54935,AGNESIAN PHARMACY MAIN ST,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
