2022-03-08T14-40-56,98021,Walgreens Store #06614,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,98021,Walgreens Store #06614,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,98021,Walgreens Store #06614,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,98021,Walgreens Store #06614,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,98021,Walgreens Store #06614,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,98021,Walgreens Store #06614,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,98021,Walgreens Store #06614,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,98021,Walgreens Store #06614,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,98021,Walgreens Store #06614,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,98021,Walgreens Store #06614,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,98021,Walgreens Store #06614,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,98021,Walgreens Store #06614,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,98021,Walgreens Store #06614,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,98021,Walgreens Store #06614,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,98021,Walgreens Store #06614,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,98021,Walgreens Store #06614,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,98021,Walgreens Store #06614,NLP,NLP,NLP,18,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,98021,Walgreens Store #06614,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
