2022-03-08T14-40-56,06905,Walgreens Store #11620,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,06905,Walgreens Store #11620,NLP,NLP,NLP,17,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,06905,Walgreens Store #11620,NLP,NLP,NLP,16,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,06905,Walgreens Store #11620,NLP,NLP,NLP,16,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,06905,Walgreens Store #11620,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,06905,Walgreens Store #11620,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,06905,CVS Store #00343,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,06905,Walgreens Store #11620,NLP,NLP,NLP,5,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,06905,Walgreens Store #11620,NLP,NLP,NLP,2,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,06905,CVS Store #00343,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,06905,CVS Store #00343,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,06905,CVS Store #00343,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,06905,CVS Store #00343,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,06905,CVS Store #00343,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,06905,Walgreens Store #11620,NLP,NLP,NLP,3,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,06905,CVS Store #00343,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,06905,CVS Store #00343,NLP,NLP,NLP,17,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,06905,Walgreens Store #11620,NLP,NLP,NLP,3,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,06905,CVS Store #00343,NLP,NLP,NLP,17,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,06905,Walgreens Store #11620,NLP,NLP,NLP,3,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,06905,Walgreens Store #11620,NLP,NLP,NLP,3,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,06905,CVS Store #00343,NLP,NLP,NLP,17,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,06905,Walgreens Store #11620,NLP,NLP,NLP,1,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,06905,CVS Store #00343,NLP,NLP,NLP,17,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,06905,CVS Store #00343,NLP,NLP,NLP,16,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,06905,CVS Store #00343,NLP,NLP,NLP,16,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,06905,CVS Store #00343,NLP,NLP,NLP,16,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,06905,CVS Store #00343,NLP,NLP,NLP,12,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,06905,CVS Store #00343,NLP,NLP,NLP,3,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,06905,CVS Store #00343,NLP,NLP,NLP,3,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,06905,CVS Store #00343,NLP,NLP,NLP,3,04/08/2022 12:00:00 AM
