2022-03-03T10-04-44,95821,Rite Aid 06403,03/02/2022 12:00:00 AM,,20,,
2022-03-08T14-40-56,95821,Rite Aid 06403,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,95821,CVS Store #05225,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,95821,CVS Store #05225,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,95821,CVS Store #05225,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,95821,CVS Store #05225,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,95821,CVS Store #05225,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,95821,CVS Store #05225,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,95821,Rite Aid 06403,NLP,NLP,NLP,19,03/27/2022 12:00:00 AM
