2022-03-08T14-40-56,14626,THE UNITY HOSPITAL OF ROCHESTER,03/03/2022 12:00:00 AM,03/05/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,14626,CVS Store #16552,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,14626,CVS Store #16552,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,14626,CVS Store #16552,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,14626,CVS Store #16552,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,18,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,100,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,14626,CVS Store #16552,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,14626,CVS Store #16552,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,100,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,100,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,14626,CVS Store #16552,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,100,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,18,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,14626,CVS Store #16552,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,14626,CVS Store #16552,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,18,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,100,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,14626,CVS Store #16552,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,140,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,18,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,18,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,14626,CVS Store #16552,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,140,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,14626,CVS Store #16552,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,140,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,140,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,14626,CVS Store #16552,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,140,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,14626,CVS Store #16552,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,14626,CVS Store #16552,NLP,NLP,NLP,18,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,14626,Walmart Pharmacy #1610,NLP,NLP,NLP,19,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,140,04/11/2022 12:00:00 AM
