2022-02-24T09-51-18,42633,MONTICELLO MEDICAL ASSOCIATES RH24,02/22/2022 12:00:00 AM,,40,,
2022-03-03T09-56-49,42633,MONTICELLO MEDICAL ASSOCIATES RH24,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,140,20,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,42633,MONTICELLO MEDICAL ASSOCIATES RH24,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,140,100,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,42633,MONTICELLO MEDICAL ASSOCIATES RH24,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,140,99,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,99,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,42633,MONTICELLO MEDICAL ASSOCIATES RH24,NLP,NLP,NLP,89,03/18/2022 12:00:00 AM
