2022-02-16T08-23-53,40965,ARH MIDDLESBORO 100019,,,0,10,02/15/2022 12:00:00 AM
2022-03-16T18-51-35,40965,ARH MIDDLESBORO ARH HOSPITAL,NLP,NLP,NLP,9,03/10/2022 12:00:00 AM
2022-03-31T08-53-07,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,40965,Walmart Pharmacy #739,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
