2022-03-08T14-40-56,11714,My CHS Rx Pharmacy Inc.,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,100,,
2022-03-16T18-51-35,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,100,03/12/2022 12:00:00 AM
2022-03-18T09-58-11,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,100,03/12/2022 12:00:00 AM
2022-03-18T11-03-37,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,100,03/12/2022 12:00:00 AM
2022-03-18T11-17-38,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,100,03/12/2022 12:00:00 AM
2022-03-18T15-22-50,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,100,03/12/2022 12:00:00 AM
2022-03-19T08-15-59,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,100,03/12/2022 12:00:00 AM
2022-03-19T11-58-02,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,100,03/12/2022 12:00:00 AM
2022-03-24T13-46-29,11714,Rite Aid 10630,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,11714,CVS Store #06275,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,11714,Rite Aid 10630,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,11714,CVS Store #06275,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,11714,Rite Aid 10630,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,11714,CVS Store #06275,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,11714,CVS Store #06275,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,11714,Rite Aid 10630,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
