2022-03-08T14-40-56,34974,Heartland Discount Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,39,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,38,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,38,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,38,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,37,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,37,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,37,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,37,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,37,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,34974,Heartland Discount Pharmacy,NLP,NLP,NLP,37,03/22/2022 12:00:00 AM
