2022-03-08T14-40-56,83619,THE PRESCRIPTION PAD,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-04-30T05-15-55,83619,The Prescription Pad,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,83619,The Prescription Pad,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,83619,The Prescription Pad,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,83619,The Prescription Pad,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,83619,The Prescription Pad,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,83619,The Prescription Pad,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,83619,The Prescription Pad,NLP,NLP,NLP,20,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,83619,THE PRESCRIPTION PAD,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
