2022-03-25T08-10-53,85233,Walgreens Store #06062,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,85233,Walgreens Store #06062,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,85233,Walgreens Store #06062,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,85233,Walgreens Store #06062,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,85233,Walgreens Store #06062,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,85233,Walgreens Store #06062,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,85233,Walgreens Store #06062,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,85233,Walgreens Store #06062,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,85233,Walgreens Store #06062,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,85233,Walgreens Store #06062,NLP,NLP,NLP,60,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,85233,Walgreens Store #06062,NLP,NLP,NLP,60,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,85233,Walgreens Store #06062,NLP,NLP,NLP,58,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,85233,Walgreens Store #06062,NLP,NLP,NLP,58,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,85233,Walgreens Store #06062,NLP,NLP,NLP,58,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,85233,Walgreens Store #06062,NLP,NLP,NLP,58,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,85233,Walgreens Store #06062,NLP,NLP,NLP,58,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,85233,Walgreens Store #06062,NLP,NLP,NLP,58,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,85233,Walgreens Store #06062,NLP,NLP,NLP,58,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,85233,Walgreens Store #06062,NLP,NLP,NLP,57,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,85233,Walgreens Store #06062,NLP,NLP,NLP,57,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,85233,Walgreens Store #06062,NLP,NLP,NLP,57,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,85233,Walgreens Store #06062,NLP,NLP,NLP,57,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,85233,Walgreens Store #06062,NLP,NLP,NLP,57,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,85233,Walgreens Store #06062,NLP,NLP,NLP,56,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,85233,Walgreens Store #06062,NLP,NLP,NLP,55,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,85233,FRYS PHARMACY 66000052,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,85233,FRYS PHARMACY 66000624,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,85233,Walgreens Store #06062,NLP,NLP,NLP,54,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,85233,Walgreens Store #06062,NLP,NLP,NLP,54,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,85233,FRYS PHARMACY 66000052,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,85233,FRYS PHARMACY 66000624,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,85233,Walgreens Store #06062,NLP,NLP,NLP,54,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,85233,FRYS PHARMACY 66000052,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,85233,FRYS PHARMACY 66000624,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,85233,FRYS PHARMACY 66000052,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,85233,FRYS PHARMACY 66000624,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,85233,Walgreens Store #06062,NLP,NLP,NLP,54,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,85233,FRYS PHARMACY 66000624,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,85233,FRYS PHARMACY 66000052,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,85233,Walgreens Store #06062,NLP,NLP,NLP,54,04/29/2022 12:00:00 AM
2022-05-05T09-49-47,85233,FRYS PHARMACY 66000052,NLP,NLP,NLP,20,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,85233,FRYS PHARMACY 66000624,NLP,NLP,NLP,20,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,85233,Walgreens Store #06062,NLP,NLP,NLP,54,04/29/2022 12:00:00 AM
2022-05-06T06-12-41,85233,FRYS PHARMACY 66000052,NLP,NLP,NLP,20,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,85233,FRYS PHARMACY 66000624,NLP,NLP,NLP,20,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,85233,Walgreens Store #06062,NLP,NLP,NLP,109,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,85233,FRYS PHARMACY 66000624,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,85233,FRYS PHARMACY 66000052,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,85233,Walgreens Store #06062,NLP,NLP,NLP,109,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,85233,FRYS PHARMACY 66000052,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
