2022-03-08T14-40-56,80134,SAFEWAY PHARMACY,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,,
2022-03-25T08-10-53,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,18,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,17,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,17,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,16,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,16,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,16,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,16,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,80134,SAFEWAY PHARMACY,NLP,NLP,NLP,5,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,14,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,80134,SAFEWAY PHARMACY,NLP,NLP,NLP,5,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,14,04/02/2022 12:00:00 AM
2022-04-05T05-48-33,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,12,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,80134,SAFEWAY PHARMACY,NLP,NLP,NLP,5,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,12,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,80134,SAFEWAY PHARMACY,NLP,NLP,NLP,5,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,12,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,80134,CVS Store #17296,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,80134,CVS Store #10785,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,80134,SAFEWAY PHARMACY,NLP,NLP,NLP,5,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,12,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,80134,SAFEWAY PHARMACY,NLP,NLP,NLP,5,04/08/2022 12:00:00 AM
2022-04-08T05-48-29,80134,CVS Store #10785,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,80134,CVS Store #17296,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,12,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,80134,CVS Store #17296,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,80134,CVS Store #10785,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,80134,SAFEWAY PHARMACY,NLP,NLP,NLP,5,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,12,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,80134,SAFEWAY PHARMACY,NLP,NLP,NLP,5,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,80134,CVS Store #17296,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,80134,CVS Store #10785,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,80134,KING SOOPERS PHARMACY 62000075,NLP,NLP,NLP,12,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,80134,CVS Store #10785,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,80134,CVS Store #17296,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,80134,SAFEWAY PHARMACY,NLP,NLP,NLP,5,04/10/2022 12:00:00 AM
