2022-02-16T08-11-48,50144,DECATUR COUNTY HOSPITAL,01/20/2022 12:00:00 AM,,0,24,02/14/2022 12:00:00 AM
2022-03-30T09-27-07,50144,DECATUR COUNTY HOSPITAL,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-05-27T05-48-57,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,05/30/2022 12:00:00 AM
2022-06-01T05-37-50,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,06/04/2022 12:00:00 AM
2022-06-06T06-32-51,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,06/05/2022 12:00:00 AM
2022-06-07T05-36-41,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,50144,Hy-Vee Clinic Pharmacy (3389),NLP,NLP,NLP,20,06/09/2022 12:00:00 AM
