2022-02-10T21-04-53,74820,CHICKASAW NATION MEDICAL CNTR,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,100,47,02/09/2022 12:00:00 AM
2022-02-14T09-23-55,74820,CHICKASAW NATION MEDICAL CNTR,02/11/2022 12:00:00 AM,02/01/2022 12:00:00 AM,120,47,02/10/2022 12:00:00 AM
2022-02-15T10-17-36,74820,CHICKASAW NATION MEDICAL CNTR,02/11/2022 12:00:00 AM,02/01/2022 12:00:00 AM,120,47,02/10/2022 12:00:00 AM
2022-02-16T08-11-48,74820,CHICKASAW NATION MEDICAL CNTR,02/11/2022 12:00:00 AM,02/01/2022 12:00:00 AM,120,47,02/10/2022 12:00:00 AM
2022-02-16T08-23-53,74820,CHICKASAW NATION MEDICAL CNTR,02/11/2022 12:00:00 AM,02/01/2022 12:00:00 AM,120,47,02/10/2022 12:00:00 AM
2022-03-03T09-56-49,74820,CNTRL OK FMC - KONAWA,02/22/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,74820,MERCY HOSPITAL - ADA,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,20,20,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,74820,CNTRL OK FMC - KONAWA,02/22/2022 12:00:00 AM,02/28/2022 12:00:00 AM,20,,
2022-03-03T10-04-44,74820,MERCY HOSPITAL - ADA,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,74820,MERCY HOSPITAL - ADA,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,74820,CNTRL OK FMC - KONAWA,02/22/2022 12:00:00 AM,02/28/2022 12:00:00 AM,20,,
2022-03-16T18-51-35,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,74820,CHICKASAW NATION MEDICAL CNTR,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,74820,MERCY HOSPITAL - ADA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
