2022-03-08T14-40-56,98498,DSHS BHA - WASHINGTON STATE HOSPITA,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/12/2022 12:00:00 AM
2022-03-18T09-58-11,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-18T15-22-50,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,98498,DSHS BHA - WASHINGTON STATE HOSPITA,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
