2022-03-08T14-40-56,11021,NORTH SHORE UNIV HOSP,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,11021,Rite Aid 04861,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,11021,Rite Aid 04861,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,11021,Rite Aid 04861,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,11021,Vivo Health Pharmacy at Home,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,11021,NORTH SHORE UNIV HOSP,NLP,NLP,NLP,410,03/30/2022 12:00:00 AM
