2022-04-25T05-22-33,43968,Rite Aid 03603,NLP,NLP,NLP,20,04/24/2022 12:00:00 AM
2022-04-26T05-20-54,43968,Rite Aid 03603,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,43968,Rite Aid 03603,NLP,NLP,NLP,20,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,43968,Rite Aid 03603,NLP,NLP,NLP,20,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,43968,Rite Aid 03603,NLP,NLP,NLP,20,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,43968,Rite Aid 03603,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,43968,Rite Aid 03603,NLP,NLP,NLP,20,04/30/2022 12:00:00 AM
2022-05-02T06-02-50,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/01/2022 12:00:00 AM
2022-05-03T06-05-23,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/07/2022 12:00:00 AM
2022-05-09T05-08-14,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/08/2022 12:00:00 AM
2022-05-10T06-06-54,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/15/2022 12:00:00 AM
2022-05-16T05-54-24,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/15/2022 12:00:00 AM
2022-05-17T05-27-38,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,43968,Rite Aid 03603,NLP,NLP,NLP,20,05/22/2022 12:00:00 AM
