2022-03-08T14-40-56,32224,Walgreens Store #05448,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,32224,Walgreens Store #05448,NLP,NLP,NLP,18,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,32224,Walgreens Store #05448,NLP,NLP,NLP,17,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,32224,Walgreens Store #05448,NLP,NLP,NLP,17,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,32224,Walgreens Store #05448,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,32224,Walgreens Store #05448,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,32224,Walgreens Store #05448,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,32224,Walgreens Store #05448,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,32224,Walgreens Store #05448,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,32224,Walgreens Store #05448,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,32224,Walgreens Store #05448,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,32224,Walgreens Store #05448,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,32224,Walgreens Store #05448,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
