2022-03-18T11-17-38,11694,Walgreens Store #17151,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,11694,Walgreens Store #17151,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,11694,Walgreens Store #17151,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,11694,Walgreens Store #17151,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,11694,Walgreens Store #17151,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,11694,Walgreens Store #17151,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,11694,Walgreens Store #17151,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,11694,Walgreens Store #17151,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,11694,Walgreens Store #17151,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,11694,Walgreens Store #17151,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,11694,Walgreens Store #17151,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,11694,Walgreens Store #17151,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,11694,Walgreens Store #17151,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,11694,Walgreens Store #17151,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,11694,Walgreens Store #17151,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,11694,Walgreens Store #17151,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,11694,Walgreens Store #17151,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,11694,Walgreens Store #17151,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,11694,Walgreens Store #17151,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,11694,Walgreens Store #17151,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,11694,Walgreens Store #17151,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,11694,Walgreens Store #17151,NLP,NLP,NLP,40,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,11694,Walgreens Store #17151,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,11694,Walgreens Store #17151,NLP,NLP,NLP,38,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,11694,Walgreens Store #17151,NLP,NLP,NLP,38,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,11694,Walgreens Store #17151,NLP,NLP,NLP,38,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,11694,Walgreens Store #17151,NLP,NLP,NLP,38,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,11694,Walgreens Store #17151,NLP,NLP,NLP,38,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,11694,Walgreens Store #17151,NLP,NLP,NLP,38,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,11694,Walgreens Store #17151,NLP,NLP,NLP,38,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,11694,Walgreens Store #17151,NLP,NLP,NLP,16,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,11694,Walgreens Store #17151,NLP,NLP,NLP,16,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,11694,Walgreens Store #17151,NLP,NLP,NLP,15,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,11694,Walgreens Store #17151,NLP,NLP,NLP,15,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,11694,Walgreens Store #17151,NLP,NLP,NLP,15,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,11694,Walgreens Store #17151,NLP,NLP,NLP,13,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,11694,Walgreens Store #17151,NLP,NLP,NLP,13,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,11694,Walgreens Store #17151,NLP,NLP,NLP,11,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,11694,Walgreens Store #17151,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,11694,Walgreens Store #17151,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,11694,Walgreens Store #17151,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,11694,Walgreens Store #17151,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,11694,Walgreens Store #17151,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,11694,Walgreens Store #17151,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-05T09-49-47,11694,Walgreens Store #17151,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-06T06-12-41,11694,Walgreens Store #17151,NLP,NLP,NLP,5,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,11694,Walgreens Store #17151,NLP,NLP,NLP,5,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,11694,Walgreens Store #17151,NLP,NLP,NLP,5,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,11694,Walgreens Store #17151,NLP,NLP,NLP,5,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,11694,Walgreens Store #17151,NLP,NLP,NLP,5,05/05/2022 12:00:00 AM
2022-05-17T05-27-38,11694,Walgreens Store #17151,NLP,NLP,NLP,15,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,11694,WALGREENS STORE #17151,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,11694,WALGREENS STORE #17151,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11694,WALGREENS STORE #17151,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,11694,WALGREENS STORE #17151,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,11694,WALGREENS STORE #17151,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11694,WALGREENS STORE #17151,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11694,WALGREENS STORE #17151,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11694,WALGREENS STORE #17151,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
