2022-03-18T11-17-38,28594,CVS Store #07024,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,28594,CVS Store #07024,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,28594,CVS Store #07024,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,28594,CVS Store #07024,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,28594,CVS Store #07024,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,28594,CVS Store #07024,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,28594,CVS Store #07024,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,28594,CVS Store #07024,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,28594,CVS Store #07024,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,28594,CVS Store #07024,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,28594,CVS Store #07024,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,28594,CVS Store #07024,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,28594,CVS Store #07024,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,28594,CVS Store #07024,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,28594,CVS Store #07024,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,28594,CVS Store #07024,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,28594,CVS Store #07024,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,28594,CVS Store #07024,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,28594,CVS Store #07024,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,28594,CVS Store #07024,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,28594,CVS Store #07024,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,28594,CVS Store #07024,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,28594,CVS Store #07024,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,28594,CVS Store #07024,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,28594,CVS Store #07024,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,28594,CVS Store #07024,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,28594,CVS Store #07024,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,28594,CVS Store #07024,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,28594,CVS Store #07024,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,28594,CVS Store #07024,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,28594,CVS Store #07024,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,28594,CVS Store #07024,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,28594,CVS Store #07024,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,28594,CVS Store #07024,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,28594,CVS Store #07024,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,28594,CVS Store #07024,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,28594,CVS Store #07024,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,28594,CVS Store #07024,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,28594,CVS Store #07024,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,28594,CVS Store #07024,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,28594,CVS Store #07024,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,28594,CVS Store #07024,NLP,NLP,NLP,20,04/19/2022 12:00:00 AM
