2022-03-08T14-40-56,85737,CVS Store #10006,03/04/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-25T08-10-53,85737,CVS Store #10006,NLP,NLP,NLP,54,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,85737,CVS Store #10006,NLP,NLP,NLP,54,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,85737,CVS Store #10006,NLP,NLP,NLP,54,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,85737,CVS Store #10006,NLP,NLP,NLP,54,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,85737,CVS Store #10006,NLP,NLP,NLP,54,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,85737,CVS Store #10006,NLP,NLP,NLP,53,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,85737,CVS Store #10006,NLP,NLP,NLP,52,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,85737,CVS Store #16217,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,85737,CVS Store #10006,NLP,NLP,NLP,52,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,85737,CVS Store #16217,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,85737,CVS Store #16217,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,85737,CVS Store #10006,NLP,NLP,NLP,52,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,85737,CVS Store #16217,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,85737,CVS Store #10006,NLP,NLP,NLP,52,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,85737,CVS Store #16217,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,85737,CVS Store #10006,NLP,NLP,NLP,52,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,85737,CVS Store #10006,NLP,NLP,NLP,52,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,85737,CVS Store #16217,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,85737,CVS Store #16217,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,85737,CVS Store #10006,NLP,NLP,NLP,52,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,85737,CVS Store #10006,NLP,NLP,NLP,51,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,85737,CVS Store #10006,NLP,NLP,NLP,51,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,85737,Walgreens Store #04103,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,85737,CVS Store #10006,NLP,NLP,NLP,51,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,85737,Walgreens Store #04103,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,85737,CVS Store #10006,NLP,NLP,NLP,51,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,85737,Walgreens Store #04103,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,85737,CVS Store #10006,NLP,NLP,NLP,50,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,85737,Walgreens Store #04103,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,85737,CVS Store #10006,NLP,NLP,NLP,50,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,85737,Walgreens Store #04103,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,85737,CVS Store #10006,NLP,NLP,NLP,50,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,85737,Walgreens Store #04103,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,85737,CVS Store #10006,NLP,NLP,NLP,49,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,85737,Walgreens Store #04103,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,85737,Walgreens Store #04103,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,85737,CVS Store #10006,NLP,NLP,NLP,48,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,85737,CVS Store #10006,NLP,NLP,NLP,48,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,85737,Walgreens Store #04103,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
