2022-03-08T14-40-56,33176,Village Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,39,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,33176,CVS Store #03421,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,33176,Village Pharmacy,NLP,NLP,NLP,39,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,33176,CVS Store #03421,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,33176,Village Pharmacy,NLP,NLP,NLP,39,03/15/2022 12:00:00 AM
2022-03-18T09-58-11,33176,CVS Store #03421,NLP,NLP,NLP,38,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,33176,Village Pharmacy,NLP,NLP,NLP,39,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,33176,CVS Store #03421,NLP,NLP,NLP,38,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,33176,Village Pharmacy,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,33176,CVS Store #03421,NLP,NLP,NLP,38,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,33176,Village Pharmacy,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,33176,CVS Store #03421,NLP,NLP,NLP,38,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,33176,CVS Store #03421,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,33176,Village Pharmacy,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,33176,Village Pharmacy,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,33176,CVS Store #03421,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,33176,Village Pharmacy,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,33176,CVS Store #03421,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,33176,Village Pharmacy,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,33176,CVS Store #03421,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,33176,Village Pharmacy,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,33176,CVS Store #03421,NLP,NLP,NLP,37,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,33176,Village Pharmacy,NLP,NLP,NLP,39,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,33176,CVS Store #03421,NLP,NLP,NLP,37,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,33176,Village Pharmacy,NLP,NLP,NLP,39,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,33176,CVS Store #03421,NLP,NLP,NLP,37,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,33176,Village Pharmacy,NLP,NLP,NLP,39,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,33176,CVS Store #03421,NLP,NLP,NLP,36,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,33176,Village Pharmacy,NLP,NLP,NLP,39,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,33176,CVS Store #03421,NLP,NLP,NLP,36,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,33176,Village Pharmacy,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,33176,CVS Store #03421,NLP,NLP,NLP,35,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,33176,CVS Store #03421,NLP,NLP,NLP,35,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,33176,Village Pharmacy,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,33176,Village Pharmacy,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,33176,CVS Store #03421,NLP,NLP,NLP,33,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33176,Village Pharmacy,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33176,CVS Store #03421,NLP,NLP,NLP,33,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33176,Village Pharmacy,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33176,CVS Store #03421,NLP,NLP,NLP,33,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,33176,Village Pharmacy,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,33176,CVS Store #03421,NLP,NLP,NLP,33,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,80,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,33176,CVS Store #03421,NLP,NLP,NLP,33,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,33176,Village Pharmacy,NLP,NLP,NLP,39,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,33176,CVS Store #03421,NLP,NLP,NLP,33,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,80,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,33176,Village Pharmacy,NLP,NLP,NLP,39,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,80,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,33176,CVS Store #03421,NLP,NLP,NLP,33,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,33176,Village Pharmacy,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,33176,Village Pharmacy,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,33176,CVS Store #03421,NLP,NLP,NLP,33,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,80,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,33176,CVS Store #03421,NLP,NLP,NLP,33,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,80,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,33176,Village Pharmacy,NLP,NLP,NLP,39,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,33176,CVS Store #03421,NLP,NLP,NLP,32,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,33176,Village Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,80,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,33176,Village Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,33176,CVS Store #03421,NLP,NLP,NLP,32,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,80,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,33176,Village Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,33176,CVS Store #03421,NLP,NLP,NLP,32,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,80,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,80,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,33176,CVS Store #03421,NLP,NLP,NLP,30,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,33176,Village Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,33176,"Baptist Health Retail Pharm, BHP101",NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,69,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,33176,Village Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,33176,CVS Store #03421,NLP,NLP,NLP,29,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,58,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,33176,"Baptist Health Retail Pharm, BHP101",NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,33176,CVS Store #03421,NLP,NLP,NLP,28,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,33176,Village Pharmacy,NLP,NLP,NLP,39,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,33176,BAPTIST HEALTH SPECIALTY PHARMACY,NLP,NLP,NLP,58,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,33176,Village Pharmacy,NLP,NLP,NLP,39,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,33176,"Baptist Health Retail Pharm, BHP101",NLP,NLP,NLP,7,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,33176,CVS Store #03421,NLP,NLP,NLP,28,04/07/2022 12:00:00 AM
