2022-03-08T14-40-56,68632,BUTLER COUNTY HEALTH CARE CENTER,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,,
2022-05-04T05-12-02,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,37,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,37,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,37,05/03/2022 12:00:00 AM
2022-05-07T05-45-31,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,37,05/03/2022 12:00:00 AM
2022-05-08T10-02-59,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,37,05/03/2022 12:00:00 AM
2022-05-09T05-08-14,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,37,05/03/2022 12:00:00 AM
2022-05-10T06-06-54,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,37,05/03/2022 12:00:00 AM
2022-05-11T06-51-12,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,37,05/03/2022 12:00:00 AM
2022-05-12T07-16-49,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,36,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,36,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,36,05/11/2022 12:00:00 AM
2022-05-15T05-54-13,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,36,05/11/2022 12:00:00 AM
2022-05-16T05-54-24,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,36,05/11/2022 12:00:00 AM
2022-05-17T05-27-38,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,36,05/11/2022 12:00:00 AM
2022-05-18T05-40-23,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,36,05/11/2022 12:00:00 AM
2022-05-19T05-25-31,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,36,05/11/2022 12:00:00 AM
2022-05-20T05-59-40,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,36,05/11/2022 12:00:00 AM
2022-05-21T05-54-21,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68632,BUTLER COUNTY HEALTH CARE CENTER,NLP,NLP,NLP,34,05/19/2022 12:00:00 AM
