2022-03-08T14-40-56,10467,NYC H+H- NORTH CENTRAL BRONX,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-03-18T09-58-11,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-21T16-35-27,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-22T09-16-18,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,10467,CVS Store #02437,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,10467,CVS Store #02551,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,10467,CVS Store #02551,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,10467,CVS Store #02437,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,10467,CVS Store #02437,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,10467,CVS Store #02551,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,10467,CVS Store #02437,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,10467,MONTEFIORE MEDICAL CENTER MOSES CAM,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,10467,CVS Store #02551,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
