2022-03-08T14-40-56,10451,NYC HEALTH + HOSPITALS/LINCOLN,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-03-24T13-46-29,10451,CVS Store #02438,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,10451,CVS Store #17526,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,10451,CVS Store #02438,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,10451,CVS Store #17526,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,10451,CVS Store #02438,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,10451,CVS Store #17526,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,10451,CVS Store #02438,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,10451,CVS Store #17526,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,10451,CVS Store #02438,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,10451,CVS Store #17526,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,10451,CVS Store #17526,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,10451,CVS Store #02438,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,10451,CVS Store #17526,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,10451,CVS Store #02438,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,10451,CVS Store #17526,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,10451,CVS Store #02438,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,10451,CVS Store #17526,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,10451,CVS Store #02438,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,10451,CVS Store #17526,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,10451,CVS Store #02438,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,10451,CVS Store #17526,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,10451,CVS Store #02438,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,10451,CVS Store #17526,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,10451,CVS Store #02438,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,10451,CVS Store #17526,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,10451,CVS Store #02438,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,10451,CVS Store #17526,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,10451,CVS Store #02438,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,10451,CVS Store #17526,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,10451,CVS Store #02438,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,10451,CVS Store #17526,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,10451,CVS Store #02438,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,10451,CVS Store #17526,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,10451,CVS Store #02438,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,10451,CVS Store #17526,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,10451,CVS Store #02438,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,10451,CVS Store #17526,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,10451,CVS Store #02438,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,10451,CVS Store #17526,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,10451,CVS Store #02438,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
