2022-03-08T14-40-56,29349,Ingles Markets Inc,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,,
2022-03-18T09-58-11,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,29349,Ingles Markets Inc,NLP,NLP,NLP,40,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,29349,Ingles Markets Inc,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,29349,Ingles Markets Inc,NLP,NLP,NLP,40,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,29349,Ingles Markets Inc,NLP,NLP,NLP,40,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,29349,Ingles Markets Inc,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,29349,Ingles Markets Inc,NLP,NLP,NLP,40,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,29349,Walgreens Store #17381,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,29349,Ingles Markets Inc,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,29349,Walgreens Store #17381,NLP,NLP,NLP,40,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,29349,Ingles Markets Inc,NLP,NLP,NLP,40,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,29349,Walgreens Store #17381,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,29349,Ingles Markets Inc,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
