2022-02-18T16-04-21,95936,WESTERN SIERRA MED CLINIC,02/01/2022 12:00:00 AM,02/04/2022 12:00:00 AM,20,0,01/25/2022 12:00:00 AM
2022-04-05T05-48-33,95936,WESTERN SIERRA MED CLINIC,NLP,NLP,NLP,0,01/25/2022 12:00:00 AM
2022-04-06T05-45-18,95936,WESTERN SIERRA MED CLINIC,NLP,NLP,NLP,0,01/25/2022 12:00:00 AM
2022-04-07T05-34-07,95936,WESTERN SIERRA MED CLINIC,NLP,NLP,NLP,0,01/25/2022 12:00:00 AM
2022-04-08T05-48-29,95936,WESTERN SIERRA MED CLINIC,NLP,NLP,NLP,0,01/25/2022 12:00:00 AM
2022-04-09T05-41-09,95936,WESTERN SIERRA MED CLINIC,NLP,NLP,NLP,0,01/25/2022 12:00:00 AM
2022-04-10T09-31-27,95936,WESTERN SIERRA MED CLINIC,NLP,NLP,NLP,0,01/25/2022 12:00:00 AM
2022-04-11T07-06-23,95936,WESTERN SIERRA MED CLINIC,NLP,NLP,NLP,0,01/25/2022 12:00:00 AM
2022-04-12T07-06-55,95936,WESTERN SIERRA MED CLINIC,NLP,NLP,NLP,0,01/25/2022 12:00:00 AM
2022-04-13T09-20-57,95936,WESTERN SIERRA MED CLINIC,NLP,NLP,NLP,0,01/25/2022 12:00:00 AM
2022-04-13T11-55-39,95936,WESTERN SIERRA MED CLINIC,NLP,NLP,NLP,0,01/25/2022 12:00:00 AM
2022-04-14T09-18-06,95936,WESTERN SIERRA MED CLINIC,NLP,NLP,NLP,0,01/25/2022 12:00:00 AM
