2022-03-08T14-40-56,80107,SAFEWAY PHARMACY,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T09-58-11,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
