2022-03-08T14-40-56,20715,Walgreens Store #11500,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,80,80,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,20715,Walgreens Store #11500,NLP,NLP,NLP,80,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,20715,Walgreens Store #11500,NLP,NLP,NLP,78,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,20715,Walgreens Store #11500,NLP,NLP,NLP,78,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,20715,Walgreens Store #11500,NLP,NLP,NLP,137,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,20715,Walgreens Store #11500,NLP,NLP,NLP,137,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,20715,Walgreens Store #11500,NLP,NLP,NLP,137,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,20715,Walgreens Store #11500,NLP,NLP,NLP,137,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,20715,Walgreens Store #11500,NLP,NLP,NLP,137,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,20715,Walgreens Store #11500,NLP,NLP,NLP,137,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,20715,Walgreens Store #11500,NLP,NLP,NLP,137,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,20715,Walgreens Store #11500,NLP,NLP,NLP,137,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,20715,Walgreens Store #11500,NLP,NLP,NLP,137,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,20715,Walgreens Store #11500,NLP,NLP,NLP,132,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,20715,Walgreens Store #11500,NLP,NLP,NLP,132,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,20715,Walgreens Store #11500,NLP,NLP,NLP,132,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,20715,Walgreens Store #11500,NLP,NLP,NLP,193,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,20715,PATIENT FIRST - BOWIE,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,20715,Walgreens Store #11500,NLP,NLP,NLP,130,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,20715,PATIENT FIRST - BOWIE,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,20715,Walgreens Store #11500,NLP,NLP,NLP,130,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,20715,PATIENT FIRST - BOWIE,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,20715,Walgreens Store #11500,NLP,NLP,NLP,130,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,20715,PATIENT FIRST - BOWIE,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,20715,PATIENT FIRST - BOWIE,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,20715,Walgreens Store #11500,NLP,NLP,NLP,130,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,20715,Walgreens Store #11500,NLP,NLP,NLP,107,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,20715,Walgreens Store #11500,NLP,NLP,NLP,107,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,20715,Walgreens Store #11500,NLP,NLP,NLP,106,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,20715,Walgreens Store #11500,NLP,NLP,NLP,106,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,20715,Walgreens Store #11500,NLP,NLP,NLP,106,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,20715,Walgreens Store #11500,NLP,NLP,NLP,123,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,20715,Walgreens Store #11500,NLP,NLP,NLP,123,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,20715,Walgreens Store #11500,NLP,NLP,NLP,123,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,20715,Walgreens Store #11500,NLP,NLP,NLP,122,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,20715,ExpressCare of Bowie,NLP,NLP,NLP,,
2022-04-06T05-45-18,20715,ExpressCare of Bowie,NLP,NLP,NLP,,
2022-04-06T05-45-18,20715,Walgreens Store #11500,NLP,NLP,NLP,121,04/05/2022 12:00:00 AM
