2022-03-18T09-58-11,59044,CVS Store #05305,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,59044,CVS Store #05305,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,59044,CVS Store #05305,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,59044,CVS Store #05305,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,59044,CVS Store #05305,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,59044,CVS Store #05305,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,59044,CVS Store #05305,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,59044,CVS Store #05305,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,59044,CVS Store #05305,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,59044,CVS Store #05305,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,59044,CVS Store #05305,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,59044,CVS Store #05305,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,59044,CVS Store #05305,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,59044,CVS Store #05305,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
