2022-03-08T14-40-56,85367,CVS Store #10028,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,,
2022-03-16T18-51-35,85367,CVS Store #10028,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,85367,CVS Store #10028,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,85367,CVS Store #10028,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,85367,CVS Store #10028,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,85367,CVS Store #10028,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,85367,CVS Store #10028,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,85367,CVS Store #10028,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,85367,CVS Store #10028,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,85367,CVS Store #10028,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,85367,CVS Store #10028,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,85367,CVS Store #10028,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,85367,CVS Store #10028,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,85367,CVS Store #10028,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,85367,CVS Store #10028,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,85367,CVS Store #10028,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,85367,CVS Store #10028,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
