2022-03-08T14-40-56,37209,Walmart Pharmacy #659,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,39,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,37209,Walmart Pharmacy #659,NLP,NLP,NLP,36,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T09-58-11,37209,Walmart Pharmacy #659,NLP,NLP,NLP,34,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,37209,Walmart Pharmacy #659,NLP,NLP,NLP,34,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,37209,Walmart Pharmacy #659,NLP,NLP,NLP,32,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,37209,Walmart Pharmacy #659,NLP,NLP,NLP,32,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,37209,Walmart Pharmacy #659,NLP,NLP,NLP,32,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,37209,Walmart Pharmacy #659,NLP,NLP,NLP,31,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,37209,Walmart Pharmacy #659,NLP,NLP,NLP,31,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,37209,Walmart Pharmacy #659,NLP,NLP,NLP,31,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,37209,Walmart Pharmacy #659,NLP,NLP,NLP,31,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,37209,Polaris Pharmacy Services of NSH,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
