2022-02-10T21-04-53,74464,Cherokee Nation OPD-Tahlequah,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,100,45,02/09/2022 12:00:00 AM
2022-02-14T09-23-55,74464,Cherokee Nation OPD-Tahlequah,02/11/2022 12:00:00 AM,02/01/2022 12:00:00 AM,120,43,02/10/2022 12:00:00 AM
2022-02-15T10-17-36,74464,Cherokee Nation OPD-Tahlequah,02/11/2022 12:00:00 AM,02/01/2022 12:00:00 AM,120,43,02/10/2022 12:00:00 AM
2022-02-16T08-11-48,74464,Cherokee Nation OPD-Tahlequah,02/11/2022 12:00:00 AM,02/01/2022 12:00:00 AM,120,42,02/11/2022 12:00:00 AM
2022-02-16T08-23-53,74464,Cherokee Nation OPD-Tahlequah,02/11/2022 12:00:00 AM,02/01/2022 12:00:00 AM,120,38,02/14/2022 12:00:00 AM
2022-03-16T18-51-35,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,38,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,38,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,38,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,38,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,38,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,38,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,37,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,37,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,37,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,37,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,37,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,97,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,97,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,97,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,97,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,115,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,115,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,115,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,74464,Walmart Pharmacy #10,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,115,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,74464,Walmart Pharmacy #10,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,115,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,74464,Walmart Pharmacy #10,NLP,NLP,NLP,60,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,114,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,74464,Walmart Pharmacy #10,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,114,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,74464,Walmart Pharmacy #10,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,114,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,74464,Walmart Pharmacy #10,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,74464,Walmart Pharmacy #10,NLP,NLP,NLP,60,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,114,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,114,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,74464,Walmart Pharmacy #10,NLP,NLP,NLP,60,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,74464,Walmart Pharmacy #10,NLP,NLP,NLP,60,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,114,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,74464,Walmart Pharmacy #10,NLP,NLP,NLP,60,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,74464,Cherokee Nation OPD-Tahlequah,NLP,NLP,NLP,114,04/06/2022 12:00:00 AM
