2022-05-17T05-27-38,68106,Walgreens Store #04974,NLP,NLP,NLP,24,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,68106,WALGREENS STORE #04974,NLP,NLP,NLP,24,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,68106,Hy-Vee Pharmacy #1 (1465),NLP,NLP,NLP,24,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,68106,WALGREENS STORE #04974,NLP,NLP,NLP,24,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,68106,Hy-Vee Pharmacy #1 (1465),NLP,NLP,NLP,24,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,68106,WALGREENS STORE #04974,NLP,NLP,NLP,24,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,68106,Hy-Vee Pharmacy #1 (1465),NLP,NLP,NLP,24,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,68106,WALGREENS STORE #04974,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,68106,Hy-Vee Pharmacy #1 (1465),NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,68106,WALGREENS STORE #04974,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,68106,Hy-Vee Pharmacy #1 (1465),NLP,NLP,NLP,48,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,68106,WALGREENS STORE #04974,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68106,Hy-Vee Pharmacy #1 (1465),NLP,NLP,NLP,48,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,68106,WALGREENS STORE #04974,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68106,Hy-Vee Pharmacy #1 (1465),NLP,NLP,NLP,48,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,68106,WALGREENS STORE #04974,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68106,Hy-Vee Pharmacy #1 (1465),NLP,NLP,NLP,48,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,68106,WALGREENS STORE #04974,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68106,Hy-Vee Pharmacy #1 (1465),NLP,NLP,NLP,48,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,68106,WALGREENS STORE #04974,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,68106,Hy-Vee Pharmacy #1 (1465),NLP,NLP,NLP,48,05/21/2022 12:00:00 AM
