2022-06-09T04-15-20,73109,CVS Store #05959,NLP,NLP,NLP,5,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,73109,CVS Store #05959,NLP,NLP,NLP,5,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,73109,CVS Store #05959,NLP,NLP,NLP,5,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,73109,CVS Store #05959,NLP,NLP,NLP,5,06/10/2022 12:00:00 AM
2022-06-13T04-15-40,73109,CVS Store #05959,NLP,NLP,NLP,5,06/10/2022 12:00:00 AM
2022-06-14T04-15-16,73109,CVS Store #05959,NLP,NLP,NLP,5,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,73109,CVS Store #05959,NLP,NLP,NLP,5,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,73109,CVS Store #05959,NLP,NLP,NLP,5,06/14/2022 12:00:00 AM
2022-06-17T04-15-27,73109,CVS Store #05959,NLP,NLP,NLP,5,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,73109,CVS Store #05959,NLP,NLP,NLP,5,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,73109,CVS Store #05959,NLP,NLP,NLP,5,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,73109,CVS Store #05959,NLP,NLP,NLP,5,06/17/2022 12:00:00 AM
2022-06-29T04-15-40,73109,CVS Store #05959,NLP,NLP,NLP,5,06/28/2022 12:00:00 AM
2022-06-30T04-15-32,73109,CVS Store #05959,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
2022-07-01T04-15-22,73109,CVS Store #05959,NLP,NLP,NLP,5,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,73109,CVS Store #05959,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-04T04-15-29,73109,CVS Store #05959,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-05T04-15-18,73109,CVS Store #05959,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-06T04-15-19,73109,CVS Store #05959,NLP,NLP,NLP,5,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,73109,CVS Store #05959,NLP,NLP,NLP,5,07/06/2022 12:00:00 AM
2022-07-07T13-15-18,73109,CVS Store #05959,NLP,NLP,NLP,5,07/06/2022 12:00:00 AM
2022-07-08T04-15-19,73109,CVS Store #05959,NLP,NLP,NLP,5,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,73109,CVS Store #05959,NLP,NLP,NLP,5,07/08/2022 12:00:00 AM
2022-07-10T04-15-26,73109,CVS Store #05959,NLP,NLP,NLP,5,07/08/2022 12:00:00 AM
2022-07-11T04-15-25,73109,CVS Store #05959,NLP,NLP,NLP,5,07/08/2022 12:00:00 AM
2022-07-12T04-15-22,73109,CVS Store #05959,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,73109,CVS Store #05959,NLP,NLP,NLP,5,07/12/2022 12:00:00 AM
2022-07-14T04-15-29,73109,CVS Store #05959,NLP,NLP,NLP,5,07/13/2022 12:00:00 AM
2022-07-15T04-15-46,73109,CVS Store #05959,NLP,NLP,NLP,5,07/14/2022 12:00:00 AM
2022-07-17T04-15-18,73109,CVS Store #05959,NLP,NLP,NLP,5,07/15/2022 12:00:00 AM
2022-07-18T04-15-21,73109,CVS Store #05959,NLP,NLP,NLP,5,07/15/2022 12:00:00 AM
2022-07-18T07-55-19,73109,CVS Store #05959,NLP,NLP,NLP,5,07/15/2022 12:00:00 AM
2022-07-19T04-15-25,73109,CVS Store #05959,NLP,NLP,NLP,5,07/18/2022 12:00:00 AM
