2022-06-07T05-36-41,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/06/2022 12:00:00 AM
2022-06-09T04-15-20,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/08/2022 12:00:00 AM
2022-06-11T04-15-14,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/08/2022 12:00:00 AM
2022-06-12T04-15-15,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/08/2022 12:00:00 AM
2022-06-13T04-15-40,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/08/2022 12:00:00 AM
2022-06-14T04-15-16,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/15/2022 12:00:00 AM
2022-06-17T04-15-27,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/16/2022 12:00:00 AM
2022-06-19T04-15-29,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/18/2022 12:00:00 AM
2022-06-20T04-15-58,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/18/2022 12:00:00 AM
2022-06-21T04-15-35,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/22/2022 12:00:00 AM
2022-06-24T04-15-26,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/22/2022 12:00:00 AM
2022-06-25T04-15-18,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/24/2022 12:00:00 AM
2022-06-26T04-15-17,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/24/2022 12:00:00 AM
2022-06-27T04-15-31,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/24/2022 12:00:00 AM
2022-06-28T04-15-44,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/24/2022 12:00:00 AM
2022-06-29T04-15-40,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/28/2022 12:00:00 AM
2022-06-30T04-15-32,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/28/2022 12:00:00 AM
2022-07-01T04-15-22,00962,FARMACIA REY #11,NLP,NLP,NLP,,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/01/2022 12:00:00 AM
2022-07-04T04-15-29,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/02/2022 12:00:00 AM
2022-07-05T04-15-18,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/02/2022 12:00:00 AM
2022-07-06T04-15-19,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/06/2022 12:00:00 AM
2022-07-07T13-15-18,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/06/2022 12:00:00 AM
2022-07-08T04-15-19,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/06/2022 12:00:00 AM
2022-07-09T04-15-19,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/08/2022 12:00:00 AM
2022-07-12T04-15-22,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/13/2022 12:00:00 AM
2022-07-15T04-15-46,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/13/2022 12:00:00 AM
2022-07-17T04-15-18,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/16/2022 12:00:00 AM
2022-07-18T04-15-21,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/16/2022 12:00:00 AM
2022-07-18T07-55-19,00962,FARMACIA REY #11,NLP,NLP,NLP,,07/15/2022 12:00:00 AM
