2022-02-18T16-04-21,69361,REGIONAL WEST MEDICAL CENTER,02/17/2022 12:00:00 AM,,18,,
2022-03-03T09-56-49,69361,REGIONAL WEST MEDICAL CENTER,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,69361,REGIONAL WEST MEDICAL CENTER,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,69361,REGIONAL WEST MEDICAL CENTER,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,72,,
2022-03-16T18-51-35,69361,REGIONAL WEST MEDICAL CENTER,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,69361,REGIONAL WEST MEDICAL CENTER,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,69361,REGIONAL WEST MEDICAL CENTER,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,69361,REGIONAL WEST MEDICAL CENTER,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,69361,REGIONAL WEST MEDICAL CENTER,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,69361,REGIONAL WEST MEDICAL CENTER,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,69361,REGIONAL WEST MEDICAL CENTER,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,69361,REGIONAL WEST MEDICAL CENTER,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,69361,REGIONAL WEST MEDICAL CENTER,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,69361,REGIONAL WEST MEDICAL CENTER,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
