2022-02-18T16-04-21,83404,MOUNTAIN VIEW HOSPITAL,02/16/2022 12:00:00 AM,,12,,
2022-02-18T16-04-21,83404,EASTERN IDAHO REGIONAL MEDICAL,02/16/2022 12:00:00 AM,,6,,
2022-02-18T16-04-21,83404,RIDGELINE MEDICAL,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,83404,RIDGELINE MEDICAL,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,83404,EASTERN IDAHO REGIONAL MEDICAL,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,83404,MOUNTAIN VIEW HOSPITAL,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,83404,RIDGELINE MEDICAL,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,83404,EASTERN IDAHO REGIONAL MEDICAL,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,83404,MOUNTAIN VIEW HOSPITAL,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,83404,EASTERN IDAHO REGIONAL MEDICAL,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,83404,RIDGELINE MEDICAL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,83404,MOUNTAIN VIEW HOSPITAL,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,83404,Ridgeline Medical,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,83404,Ridgeline Medical,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,83404,Ridgeline Medical,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,83404,Ridgeline Medical,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,83404,Ridgeline Medical,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,83404,Ridgeline Medical,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,83404,Ridgeline Medical,NLP,NLP,NLP,62,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,83404,EASTERN IDAHO REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,83404,Ridgeline Medical,NLP,NLP,NLP,62,03/23/2022 12:00:00 AM
