2022-02-18T16-04-21,04401,ST JOSEPH HOSPITAL,02/17/2022 12:00:00 AM,,12,,
2022-02-18T16-04-21,04401,CONVENIENTMD BANGOR,02/17/2022 12:00:00 AM,,6,,
2022-02-18T16-04-21,04401,NL EASTERN MAINE MEDICAL CENTER,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,04401,CONVENIENTMD BANGOR,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,04401,NL EASTERN MAINE MEDICAL CENTER,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,84,,
2022-03-03T09-56-49,04401,ST JOSEPH HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,144,,
2022-03-03T10-04-44,04401,ST JOSEPH HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,144,,
2022-03-03T10-04-44,04401,NL EASTERN MAINE MEDICAL CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,84,,
2022-03-03T10-04-44,04401,CONVENIENTMD BANGOR,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,04401,ST JOSEPH HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,198,,
2022-03-08T14-40-56,04401,CONVENIENTMD BANGOR,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,04401,NL EASTERN MAINE MEDICAL CENTER,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,294,,
2022-03-16T18-51-35,04401,ST JOSEPH HOSPITAL,NLP,NLP,NLP,168,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,04401,EASTERN MAINE MEDICAL CENTER,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,04401,ST JOSEPH HOSPITAL,NLP,NLP,NLP,168,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,04401,EASTERN MAINE MEDICAL CENTER,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,04401,ST JOSEPH HOSPITAL,NLP,NLP,NLP,168,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,04401,EASTERN MAINE MEDICAL CENTER,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,04401,ST JOSEPH HOSPITAL,NLP,NLP,NLP,154,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,04401,EASTERN MAINE MEDICAL CENTER,NLP,NLP,NLP,107,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,04401,ST JOSEPH HOSPITAL,NLP,NLP,NLP,154,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,04401,EASTERN MAINE MEDICAL CENTER,NLP,NLP,NLP,107,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,04401,ST JOSEPH HOSPITAL,NLP,NLP,NLP,154,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,04401,EASTERN MAINE MEDICAL CENTER,NLP,NLP,NLP,107,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,04401,ST JOSEPH HOSPITAL,NLP,NLP,NLP,154,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,04401,EASTERN MAINE MEDICAL CENTER,NLP,NLP,NLP,107,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,04401,ST JOSEPH HOSPITAL,NLP,NLP,NLP,154,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,04401,EASTERN MAINE MEDICAL CENTER,NLP,NLP,NLP,107,03/16/2022 12:00:00 AM
