2022-02-18T16-04-21,32164,ADVENTHEALTH PALM COAST(FH-Flagler),02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,32164,ADVENTHEALTH PALM COAST(FH-Flagler),02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,32164,ADVENTHEALTH PALM COAST(FH-Flagler),02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,32164,Adventhhealth Palm Coast FH-Flagler,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,32164,ADVENTHEALTH PALM COAST,NLP,NLP,NLP,62,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32164,ADVENTHEALTH PALM COAST,NLP,NLP,NLP,62,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32164,ADVENTHEALTH PALM COAST,NLP,NLP,NLP,62,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,32164,ADVENTHEALTH PALM COAST,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32164,ADVENTHEALTH PALM COAST,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32164,ADVENTHEALTH PALM COAST,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32164,ADVENTHEALTH PALM COAST,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32164,ADVENTHEALTH PALM COAST,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32164,ADVENTHEALTH PALM COAST,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
