2022-02-18T16-04-21,34613,PINE BROOK PHARMACY,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,34613,PINE BROOK PHARMACY,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,34613,PINE BROOK PHARMACY,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,34613,PINE BROOK PHARMACY,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,34613,Pine Brook Pharmacy,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,34613,Pine Brook Pharmacy,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,34613,Pine Brook Pharmacy,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,34613,Pine Brook Pharmacy,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,34613,Pine Brook Pharmacy,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,34613,HCA FLORIDA OAK HILL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,34613,Pine Brook Pharmacy,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
