2022-02-18T16-04-21,53081,SAINT NICHOLAS HOSPITAL,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,53081,SAINT NICHOLAS HOSPITAL,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,53081,SAINT NICHOLAS HOSPITAL,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,53081,SAINT NICHOLAS HOSPITAL,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,53081,ST NICHOLAS HOSPITAL,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
