2022-02-18T16-04-21,76104,BAYLOR SCOTT WHITE ALL SAINTS,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,72,,
2022-03-03T09-56-49,76104,BAYLOR SCOTT WHITE ALL SAINTS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,120,,
2022-03-03T10-04-44,76104,JPS HOSPITAL OUTPATIENT PHARMACY,03/01/2022 12:00:00 AM,,48,,
2022-03-03T10-04-44,76104,BAYLOR SCOTT WHITE ALL SAINTS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,120,,
2022-03-08T14-40-56,76104,BAYLOR SCOTT WHITE ALL SAINTS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,120,,
2022-03-08T14-40-56,76104,JPS HOSPITAL OUTPATIENT PHARMACY,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,76104,TARRANT COUNTY RIC,NLP,NLP,NLP,37,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,76104,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,NLP,NLP,NLP,119,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,76104,TEXAS HEALTH HARRIS METHODIST FORT WORTH,NLP,NLP,NLP,111,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,76104,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,NLP,NLP,NLP,119,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,76104,TARRANT COUNTY RIC,NLP,NLP,NLP,37,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,76104,TEXAS HEALTH HARRIS METHODIST FORT WORTH,NLP,NLP,NLP,111,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,76104,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,NLP,NLP,NLP,119,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,76104,TARRANT COUNTY RIC,NLP,NLP,NLP,37,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,76104,TEXAS HEALTH HARRIS METHODIST FORT WORTH,NLP,NLP,NLP,111,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,76104,TARRANT COUNTY RIC,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,76104,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,76104,TEXAS HEALTH HARRIS METHODIST FORT WORTH,NLP,NLP,NLP,109,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,76104,TARRANT COUNTY RIC,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,76104,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,76104,TEXAS HEALTH HARRIS METHODIST FORT WORTH,NLP,NLP,NLP,109,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,76104,TEXAS HEALTH HARRIS METHODIST FORT WORTH,NLP,NLP,NLP,109,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,76104,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,76104,TARRANT COUNTY RIC,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,76104,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,76104,TEXAS HEALTH HARRIS METHODIST FORT WORTH,NLP,NLP,NLP,109,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,76104,TARRANT COUNTY RIC,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,76104,TARRANT COUNTY RIC,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,76104,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,76104,TEXAS HEALTH HARRIS METHODIST FORT WORTH,NLP,NLP,NLP,109,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,76104,TEXAS HEALTH HARRIS METHODIST FORT WORTH,NLP,NLP,NLP,109,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,76104,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,76104,TARRANT COUNTY RIC,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,76104,TEXAS HEALTH HARRIS METHODIST FORT WORTH,NLP,NLP,NLP,109,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,76104,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,76104,TARRANT COUNTY RIC,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,76104,TEXAS HEALTH HARRIS METHODIST FORT WORTH,NLP,NLP,NLP,109,03/16/2022 12:00:00 AM
