2022-02-18T16-04-21,32778,ADVENT HEALTH WATERMAN,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,32778,ADVENT HEALTH WATERMAN,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,32778,ADVENT HEALTH WATERMAN,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,32778,AdventHealth Waterman,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32778,ADVENTHEALTH WATERMAN,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
