2022-03-03T09-56-49,68434,MEMORIAL HEALTH CARE SYSTEMS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,68434,MEMORIAL HEALTH CARE SYSTEMS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,68434,MEMORIAL HEALTH CARE SYSTEMS,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,68434,MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
