2022-03-03T09-56-49,94109,Saint Francis Memorial Hospital SF,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,94109,CALIFORNIA PACIFIC MEDICAL CENTER,02/26/2022 12:00:00 AM,,12,,
2022-03-03T10-04-44,94109,Saint Francis Memorial Hospital SF,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,94109,CALIFORNIA PACIFIC MEDICAL CENTER,02/26/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,94109,CALIFORNIA PACIFIC MEDICAL CENTER,02/26/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,94109,Saint Francis Memorial Hospital SF,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,94109,SAINT FRANCIS MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
