2022-02-18T16-04-21,97365,SAMARITAN PACIFIC COMMUNITIES HOSPI,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,97365,SAMARITAN PACIFIC COMMUNITIES HOSPI,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,97365,SAMARITAN PACIFIC COMMUNITIES HOSPI,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,97365,SAMARITAN PACIFIC COMMUNITIES HOSPI,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,97365,SAMARITAN PACIFIC COMMUNITY HOSPITAL,NLP,NLP,NLP,21,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,97365,SAMARITAN PACIFIC COMMUNITY HOSPITAL,NLP,NLP,NLP,21,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,97365,SAMARITAN PACIFIC COMMUNITY HOSPITAL,NLP,NLP,NLP,21,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,97365,SAMARITAN PACIFIC COMMUNITY HOSPITAL,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,97365,SAMARITAN PACIFIC COMMUNITY HOSPITAL,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,97365,SAMARITAN PACIFIC COMMUNITY HOSPITAL,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,97365,SAMARITAN PACIFIC COMMUNITY HOSPITAL,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,97365,SAMARITAN PACIFIC COMMUNITY HOSPITAL,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,97365,SAMARITAN PACIFIC COMMUNITY HOSPITAL,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,97365,SAMARITAN PACIFIC COMMUNITY HOSPITAL,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,97365,SAMARITAN PACIFIC COMMUNITY HOSPITAL,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,97365,SAMARITAN PACIFIC COMMUNITY HOSPITAL,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
