2022-02-18T16-04-21,33901,LEE PHARMACY LMH,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,33901,LEE PHARMACY LMH,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,33901,LEE PHARMACY LMH,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,33901,Lee Pharmacy LMH,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,33901,LEE MEMORIAL HOSPITAL,NLP,NLP,NLP,104,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,33901,LEE MEMORIAL HOSPITAL,NLP,NLP,NLP,104,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,33901,LEE MEMORIAL HOSPITAL,NLP,NLP,NLP,104,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,33901,LEE MEMORIAL HOSPITAL,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,33901,LEE MEMORIAL HOSPITAL,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,33901,LEE MEMORIAL HOSPITAL,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,33901,LEE MEMORIAL HOSPITAL,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,33901,LEE MEMORIAL HOSPITAL,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,33901,LEE MEMORIAL HOSPITAL,NLP,NLP,NLP,104,03/16/2022 12:00:00 AM
