2022-02-18T16-04-21,56671,Red Lake Hospital,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,56671,Red Lake Hospital,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,56671,Red Lake Hospital,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,56671,Red Lake Hospital,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,56671,RED LAKE HOSPITAL A,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,56671,RED LAKE HOSPITAL A,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,56671,RED LAKE HOSPITAL A,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,56671,RED LAKE HOSPITAL A,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,56671,RED LAKE HOSPITAL A,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,56671,RED LAKE HOSPITAL A,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,56671,RED LAKE HOSPITAL A,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,56671,RED LAKE HOSPITAL A,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
