2022-03-08T14-40-56,20016,SIBLEY MEMORIAL HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,6,,
2022-03-18T09-58-11,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,29,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,29,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,20016,SIBLEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
