2022-03-03T09-56-49,22401,"MARY WASHINGTON HOSPITAL, INC",02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,22401,"MARY WASHINGTON HOSPITAL, INC",03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,22401,"MARY WASHINGTON HOSPITAL, INC",03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,72,,
2022-03-16T18-51-35,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,100,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,22401,Primary and Urgent Care,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,100,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,22401,Primary and Urgent Care,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,100,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,22401,Primary and Urgent Care,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,22401,Primary and Urgent Care,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,22401,Primary and Urgent Care,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,22401,Primary and Urgent Care,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,22401,Primary and Urgent Care,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,22401,Primary and Urgent Care,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,22401,Primary and Urgent Care,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,22401,Primary and Urgent Care,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,22401,Primary and Urgent Care,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,22401,Primary and Urgent Care,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,22401,"MARY WASHINGTON HOSPITAL, INC",NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,22401,Primary and Urgent Care,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
