2022-02-18T16-04-21,39402,HATTIESBURG CLINIC,02/16/2022 12:00:00 AM,,36,,
2022-03-03T09-56-49,39402,Merit Health Wesley,02/23/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,39402,HATTIESBURG CLINIC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-03T09-56-49,39402,Conx Care Clinic,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,39402,HATTIESBURG CLINIC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-03T10-04-44,39402,Merit Health Wesley,02/23/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,39402,Conx Care Clinic,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,39402,Merit Health Wesley,02/23/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,39402,HATTIESBURG CLINIC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-08T14-40-56,39402,Conx Care Clinic,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-18T11-17-38,39402,MERIT HEALTH WESLEY,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,39402,MERIT HEALTH WESLEY,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,39402,MERIT HEALTH WESLEY,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,39402,MERIT HEALTH WESLEY,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,39402,MERIT HEALTH WESLEY,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,39402,MERIT HEALTH WESLEY,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,39402,MERIT HEALTH WESLEY,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,39402,MERIT HEALTH WESLEY,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,39402,MERIT HEALTH WESLEY,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,39402,MERIT HEALTH WESLEY,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
