2022-02-18T16-04-21,01201,Gothams - Pittsfield,02/17/2022 12:00:00 AM,,42,,
2022-03-03T09-56-49,01201,BERKSHIRE MEDICAL CENTER,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,01201,Gothams - Pittsfield,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-03T10-04-44,01201,BERKSHIRE MEDICAL CENTER,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,01201,Gothams - Pittsfield,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-08T14-40-56,01201,BERKSHIRE MEDICAL CENTER,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,01201,Gothams - Pittsfield,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-16T18-51-35,01201,Gotham - Pittsfield,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,01201,Gotham - Pittsfield,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,01201,Gotham - Pittsfield,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,01201,Gotham - Pittsfield,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,01201,Gotham - Pittsfield,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,01201,Gotham - Pittsfield,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,01201,Gotham - Pittsfield,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,01201,Gotham - Pittsfield,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,01201,Gotham - Pittsfield,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,01201,Gotham - Pittsfield,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,01201,Gotham - Pittsfield,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,01201,Gotham - Pittsfield,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,01201,Gotham - Pittsfield,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,01201,Gotham - Pittsfield,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,01201,BERKSHIRE MEDICAL CENTER INC - 1,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,01201,Gotham - Pittsfield,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
