2022-03-08T14-40-56,75455,TITUS REGIONAL MEDICAL CENTER,03/07/2022 12:00:00 AM,,72,,
2022-03-18T11-17-38,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,75455,TITUS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,70,03/23/2022 12:00:00 AM
