2022-02-18T16-04-21,97227,KAISER PERMANENTE EAST INTERSTATE 2,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,97227,KAISER PERMANENTE EAST INTERSTATE 2,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,97227,KAISER PERMANENTE EAST INTERSTATE 2,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,97227,KAISER PERMANENTE EAST INTERSTATE 2,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,97227,Kaiser Permanente - East Interstate Pharmacy,NLP,NLP,NLP,92,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,97227,Kaiser Permanente - East Interstate Pharmacy,NLP,NLP,NLP,92,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,97227,Kaiser Permanente - East Interstate Pharmacy,NLP,NLP,NLP,92,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,97227,LEGACY EMANUEL MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,97227,Kaiser Permanente - East Interstate Pharmacy,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,97227,LEGACY EMANUEL MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,97227,Kaiser Permanente - East Interstate Pharmacy,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,97227,Kaiser Permanente - East Interstate Pharmacy,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,97227,LEGACY EMANUEL MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,97227,LEGACY EMANUEL MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,97227,Kaiser Permanente - East Interstate Pharmacy,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
